object,type,subject,name
Finger weight in g|cycle 1 main plant|1st most distal hand rank|at harvesting,contains,1st most distal hand rank,cxgn_plant_level_ontology
Number of fingers in hand: count|1st most distal hand rank|at harvesting,contains,1st most distal hand rank,cxgn_plant_level_ontology
Finger circumference in cm|1st most distal hand rank|at harvesting,contains,1st most distal hand rank,cxgn_plant_level_ontology
Finger external length in cm|1st most distal hand rank|at harvesting,contains,1st most distal hand rank,cxgn_plant_level_ontology
Finger external length in cm|2nd distal hand rank|at harvesting,contains,2nd distal hand rank,cxgn_plant_level_ontology
harvesting|cycle 1 main plant|2nd distal hand rank|at harvesting,contains,2nd distal hand rank,cxgn_plant_level_ontology
Finger circumference in cm|2nd distal hand rank|at harvesting,contains,2nd distal hand rank,cxgn_plant_level_ontology
Finger lateral diameter in cm|2nd distal hand rank|at harvesting,contains,2nd distal hand rank,cxgn_plant_level_ontology
Finger peel thickness in mm|2nd distal hand rank|at harvesting,contains,2nd distal hand rank,cxgn_plant_level_ontology
harvesting|cycle 2 main plant|2nd distal hand rank|at harvesting,contains,2nd distal hand rank,cxgn_plant_level_ontology
Fruit pulp lateral diameter in cm|2nd distal hand rank|at harvesting,contains,2nd distal hand rank,cxgn_plant_level_ontology
Number of fingers in hand: count|2nd distal hand rank|at harvesting,contains,2nd distal hand rank,cxgn_plant_level_ontology
Bunch orientation 1-5|cycle 2 main plant|after harvest,contains,after harvest,cxgn_time_ontology
Bunch orientation 1-5|cycle 1 main plant|after harvest,contains,after harvest,cxgn_time_ontology
Bunch orientation 1-5|cycle 3 main plant|after harvest,contains,after harvest,cxgn_time_ontology
Functional leaf number: count|cycle 1 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 16|at flowering,contains,at flowering,cxgn_time_ontology
Number of functional leaves: count|cycle 1 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference at 20 cm from the collar|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 15|at flowering,contains,at flowering,cxgn_time_ontology
Youngest leaf spotted rank|at flowering,contains,at flowering,cxgn_time_ontology
Plant height in cm|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of functional leaves: count|at flowering,contains,at flowering,cxgn_time_ontology
plant circumference from the collar|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 14|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 13|at flowering,contains,at flowering,cxgn_time_ontology
number of fingers in bunch|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 12|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 11|at flowering,contains,at flowering,cxgn_time_ontology
Number of suckers: count|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of dead roots: count|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 10|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 09|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 08|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 07|at flowering,contains,at flowering,cxgn_time_ontology
Youngest leaf black streak|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 06|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 05|at flowering,contains,at flowering,cxgn_time_ontology
Number of suckers: count|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of functional roots: count|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 04|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 03|at flowering,contains,at flowering,cxgn_time_ontology
Index of non-spotted leaves: calculation|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 21|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 02|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 3 main plant|leaf rank 01|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 06|at flowering,contains,at flowering,cxgn_time_ontology
Rank of oldest standing leaf: count|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Functional leaf number: count|cycle 3 tallest sucker|at flowering,contains,at flowering,cxgn_time_ontology
Youngest leaf spotted rank|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference at 20 cm from the collar|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Plant height in cm|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
plant circumference from the collar|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference|at flowering,contains,at flowering,cxgn_time_ontology
Youngest leaf black streak|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Index of non-spotted leaves: calculation|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease infection index|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 6|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 5|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Index of non-spotted leaves: calculation|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 26|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 4|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 15|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 3|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of spotted leaves: count|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 2|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 1|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 14|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 6|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 0|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Rank of oldest standing leaf: count|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
plant height to neck of peduncle|cycle 1 main plant|at flowering,contains,at flowering,cxgn_time_ontology
number of standing leaves|cycle 4|at flowering,contains,at flowering,cxgn_time_ontology
plant height to neck of peduncle|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference at 20 cm from the collar|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease infection index|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 5|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 12|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 13|at flowering,contains,at flowering,cxgn_time_ontology
Number of spotted leaves: count|cycle 2 main plant|at flowering,contains,at flowering,cxgn_time_ontology
plant height to neck of peduncle|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 30|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|leaf rank 28|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Faure|leaf rank 13|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 4|cycle 3 main plant|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 29|at flowering,contains,at flowering,cxgn_time_ontology
Black Sigatoka disease severity Gauhl|cycle 2 main plant|leaf rank 28|at flowering,contains,at flowering,cxgn_time_ontology
Plant circumference at 100 cm from the collar|cycle 1|at flowering,contains,at flowering,cxgn_time_ontology
Number of leaves with black Sigatoka disease severity grade 4|at flowering,contains,at flowering,cxgn_time_ontology
