object,type,subject,name
Content of fructose in raw storage roots computing percent|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Alternaria symptoms estimating 1-9|month 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of amylose in dry weight basis in storage roots measuring mg per g|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Storage root dry matter content computing percent|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of amylose in dry weight basis in storage roots measuring mg per g|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Storage root dry matter content computing percent|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of amylose in dry weight basis in storage roots measuring mg per g|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Storage root dry matter content computing percent|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Content of amylose in dry weight basis in storage roots measuring mg per g|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Storage root dry matter content computing percent|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Content of amylose in dry weight basis in storage roots measuring mg per g|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Storage root dry matter content computing percent|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of anthocyanin in dry weight basis in storage roots measuring mg per g|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of total monomeric anthocyanin in dry weight basis in storage roots measuring mg per g|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of anthocyanin in dry weight basis in storage roots measuring mg per g|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Content of total monomeric anthocyanin in dry weight basis in storage roots measuring mg per g|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of anthocyanin in dry weight basis in storage roots measuring mg per g|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Content of total monomeric anthocyanin in dry weight basis in storage roots measuring mg per g|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Content of anthocyanin in dry weight basis in storage roots measuring mg per g|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of total monomeric anthocyanin in dry weight basis in storage roots measuring mg per g|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Content of anthocyanin in dry weight basis in storage roots measuring mg per g|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of total monomeric anthocyanin in dry weight basis in storage roots measuring mg per g|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of asparagine in dry weight basis in storage roots measuring mg per g|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in raw storage roots computing percent|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in raw storage roots computing percent|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in raw storage roots computing percent|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in raw storage roots computing percent|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in raw storage roots computing percent|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in fresh weight basis in raw storage roots measuring g per 100g|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in fresh weight basis in raw storage roots measuring g per 100g|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in fresh weight basis in raw storage roots measuring g per 100g|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in fresh weight basis in raw storage roots measuring g per 100g|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Content of asparagine in dry weight basis in storage roots measuring mg per g|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Content of sucrose in fresh weight basis in raw storage roots measuring g per 100g|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of asparagine in dry weight basis in storage roots measuring mg per g|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Content of starch in dry weight basis in raw storage roots measuring percentage|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of starch in dry weight basis in raw storage roots measuring percentage|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of starch in dry weight basis in raw storage roots measuring percentage|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Content of asparagine in dry weight basis in storage roots measuring mg per g|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of starch in dry weight basis in raw storage roots measuring percentage|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Content of starch in dry weight basis in raw storage roots measuring percentage|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of phenol in dry weight basis in storage roots measuring mg per g|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of phenol in dry weight basis in storage roots measuring mg per g|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of phenol in dry weight basis in storage roots measuring mg per g|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Content of asparagine in dry weight basis in storage roots measuring mg per g|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of phenol in dry weight basis in storage roots measuring mg per g|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Content of beta-carotene in fresh weight basis in raw storage roots measuring mg per 100g|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of phenol in dry weight basis in storage roots measuring mg per g|day 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of beta-carotene in fresh weight basis in raw storage roots measuring mg per 100g|month 4|after harvest,contains,after harvest,cxgn_time_ontology
Content of peonidin in dry weight basis in storage roots measuring mg per g|week 1|after harvest,contains,after harvest,cxgn_time_ontology
Content of beta-carotene in fresh weight basis in raw storage roots measuring mg per 100g|month 6|after harvest,contains,after harvest,cxgn_time_ontology
Content of peonidin in dry weight basis in storage roots measuring mg per g|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of beta-carotene in fresh weight basis in raw storage roots measuring mg per 100g|month 8|after harvest,contains,after harvest,cxgn_time_ontology
Content of peonidin in dry weight basis in storage roots measuring mg per g|month 6|after harvest,contains,after harvest,cxgn_time_ontology
